Cement,Fine aggregate,Coarse aggregate,Water,Water-binder ratio,Superplasticizer,Fly ash,Silica fume,Blast furnace slag,Cl content in seawater,Annual temperature,Exposure time,Tidal zone,Splash zone,Submerged zone,Surface chloride concentration
300,822,1131,150,0.5,0,0,0,0,18.5,16.8,0.5,1,0,0,0.29
300,822,1131,150,0.5,0,0,0,0,18.5,16.8,0.75,1,0,0,0.37
300,822,1131,150,0.5,0,0,0,0,18.5,16.8,1,1,0,0,0.36
300,822,1131,150,0.5,0,0,0,0,18.5,16.8,1.25,1,0,0,0.43
300,822,1131,150,0.5,0,0,0,0,18.5,16.8,1.5,1,0,0,0.45
300,822,1131,150,0.5,0,0,0,0,18.5,16.8,2,1,0,0,0.46
300,822,1131,150,0.5,0,0,0,0,18.5,16.8,2.5,1,0,0,0.55
300,822,1131,150,0.5,0,0,0,0,18.5,16.8,3,1,0,0,0.59
478,639,1024,215,0.45,0,0,0,0,17,30,2,1,0,0,0.689813243
478,639,1024,215,0.45,0,0,0,0,17,30,3,1,0,0,1.014431239
478,639,1024,215,0.45,0,0,0,0,17,30,4,1,0,0,1.115874363
478,639,1024,215,0.45,0,0,0,0,17,30,5,1,0,0,1.217317487
478,639,971,262,0.55,0,0,0,0,17,30,2,1,0,0,0.813617021
478,639,971,262,0.55,0,0,0,0,17,30,3,1,0,0,0.956
478,639,971,262,0.55,0,0,0,0,17,30,4,1,0,0,1.017021277
478,639,971,262,0.55,0,0,0,0,17,30,5,1,0,0,1.220425532
478,639,922,311,0.65,0,0,0,0,17,30,2,1,0,0,0.854297872
478,639,922,311,0.65,0,0,0,0,17,30,3,1,0,0,1.057702128
478,639,922,311,0.65,0,0,0,0,17,30,4,1,0,0,1.159404255
478,639,922,311,0.65,0,0,0,0,17,30,5,1,0,0,1.261106383
406,639,1024,215,0.45,0,72,0,0,17,30,2,1,0,0,0.97385399
406,639,1024,215,0.45,0,72,0,0,17,30,3,1,0,0,1.115874363
406,639,1024,215,0.45,0,72,0,0,17,30,4,1,0,0,1.176740238
406,639,1024,215,0.45,0,72,0,0,17,30,5,1,0,0,1.318760611
406,639,948,262,0.55,0,72,0,0,17,30,2,1,0,0,0.944907606
406,639,948,262,0.55,0,72,0,0,17,30,3,1,0,0,1.150322303
406,639,948,262,0.55,0,72,0,0,17,30,4,1,0,0,1.232488182
406,639,948,262,0.55,0,72,0,0,17,30,5,1,0,0,1.437902879
406,639,898,311,0.65,0,72,0,0,17,30,2,1,0,0,1.08916595
406,639,898,311,0.65,0,72,0,0,17,30,3,1,0,0,1.335769561
406,639,898,311,0.65,0,72,0,0,17,30,4,1,0,0,1.417970765
406,639,898,311,0.65,0,72,0,0,17,30,5,1,0,0,1.500171969
359,639,990,215,0.45,0,119,0,0,17,30,2,1,0,0,0.988113695
359,639,990,215,0.45,0,119,0,0,17,30,3,1,0,0,1.049870801
359,639,990,215,0.45,0,119,0,0,17,30,4,1,0,0,1.193970715
359,639,990,215,0.45,0,119,0,0,17,30,5,1,0,0,1.338070629
359,639,933,262,0.55,0,119,0,0,17,30,2,1,0,0,1.075086505
359,639,933,262,0.55,0,119,0,0,17,30,3,1,0,0,1.116435986
359,639,933,262,0.55,0,119,0,0,17,30,4,1,0,0,1.137110727
359,639,933,262,0.55,0,119,0,0,17,30,5,1,0,0,1.302508651
359,639,881,311,0.65,0,119,0,0,17,30,2,1,0,0,1.138588133
359,639,881,311,0.65,0,119,0,0,17,30,3,1,0,0,1.242096146
359,639,881,311,0.65,0,119,0,0,17,30,4,1,0,0,1.304200953
359,639,881,311,0.65,0,119,0,0,17,30,5,1,0,0,1.44911217
311,639,977,215,0.45,0,167,0,0,17,30,2,1,0,0,0.848765699
311,639,977,215,0.45,0,167,0,0,17,30,3,1,0,0,0.890168904
311,639,977,215,0.45,0,167,0,0,17,30,4,1,0,0,0.931572109
311,639,977,215,0.45,0,167,0,0,17,30,5,1,0,0,1.138588133
311,639,918,262,0.55,0,167,0,0,17,30,2,1,0,0,0.998868089
311,639,918,262,0.55,0,167,0,0,17,30,3,1,0,0,1.144536352
311,639,918,262,0.55,0,167,0,0,17,30,4,1,0,0,1.248585111
311,639,918,262,0.55,0,167,0,0,17,30,5,1,0,0,1.331824118
311,639,864,311,0.65,0,167,0,0,17,30,2,1,0,0,1.00104712
311,639,864,311,0.65,0,167,0,0,17,30,3,1,0,0,1.12617801
311,639,864,311,0.65,0,167,0,0,17,30,4,1,0,0,1.188743455
311,639,864,311,0.65,0,167,0,0,17,30,5,1,0,0,1.313874346
239,639,957,215,0.45,0,239,0,0,17,30,2,1,0,0,0.835299257
239,639,957,215,0.45,0,239,0,0,17,30,3,1,0,0,0.897946702
239,639,957,215,0.45,0,239,0,0,17,30,4,1,0,0,0.981476627
239,639,957,215,0.45,0,239,0,0,17,30,5,1,0,0,1.16941896
239,639,897,262,0.55,0,239,0,0,17,30,2,1,0,0,0.966080844
239,639,897,262,0.55,0,239,0,0,17,30,3,1,0,0,1.155096661
239,639,897,262,0.55,0,239,0,0,17,30,4,1,0,0,1.344112478
239,639,897,262,0.55,0,239,0,0,17,30,5,1,0,0,1.386115993
239,639,840,311,0.65,0,239,0,0,17,30,2,1,0,0,1.011640212
239,639,840,311,0.65,0,239,0,0,17,30,3,1,0,0,1.138095238
239,639,840,311,0.65,0,239,0,0,17,30,4,1,0,0,1.222398589
239,639,840,311,0.65,0,239,0,0,17,30,5,1,0,0,1.30670194
406,639,1024,215,0.45,0,72,0,0,17,30,2,1,0,0,0.831833616
406,639,1024,215,0.45,0,72,0,0,17,30,3,1,0,0,1.095585739
406,639,1024,215,0.45,0,72,0,0,17,30,4,1,0,0,1.136162988
406,639,1024,215,0.45,0,72,0,0,17,30,5,1,0,0,1.217317487
406,639,948,262,0.55,0,72,0,0,17,30,2,1,0,0,0.903824667
406,639,948,262,0.55,0,72,0,0,17,30,3,1,0,0,1.027073485
406,639,948,262,0.55,0,72,0,0,17,30,4,1,0,0,1.088697894
406,639,948,262,0.55,0,72,0,0,17,30,5,1,0,0,1.170863773
406,639,898,311,0.65,0,72,0,0,17,30,2,1,0,0,1.027515047
406,639,898,311,0.65,0,72,0,0,17,30,3,1,0,0,1.130266552
406,639,898,311,0.65,0,72,0,0,17,30,4,1,0,0,1.335769561
406,639,898,311,0.65,0,72,0,0,17,30,5,1,0,0,1.500171969
359,639,990,215,0.45,0,119,0,0,17,30,2,1,0,0,0.905770887
359,639,990,215,0.45,0,119,0,0,17,30,3,1,0,0,1.091042205
359,639,990,215,0.45,0,119,0,0,17,30,4,1,0,0,1.132213609
359,639,990,215,0.45,0,119,0,0,17,30,5,1,0,0,1.193970715
359,639,933,262,0.55,0,119,0,0,17,30,2,1,0,0,1.054411765
359,639,933,262,0.55,0,119,0,0,17,30,3,1,0,0,1.116435986
359,639,933,262,0.55,0,119,0,0,17,30,4,1,0,0,1.157785467
359,639,933,262,0.55,0,119,0,0,17,30,5,1,0,0,1.28183391
359,639,881,311,0.65,0,119,0,0,17,30,2,1,0,0,0.993676916
359,639,881,311,0.65,0,119,0,0,17,30,3,1,0,0,1.035080121
359,639,881,311,0.65,0,119,0,0,17,30,4,1,0,0,1.097184929
359,639,881,311,0.65,0,119,0,0,17,30,5,1,0,0,1.221394543
311,639,977,215,0.45,0,167,0,0,17,30,2,1,0,0,0.76595929
311,639,977,215,0.45,0,167,0,0,17,30,3,1,0,0,0.890168904
311,639,977,215,0.45,0,167,0,0,17,30,4,1,0,0,0.931572109
311,639,977,215,0.45,0,167,0,0,17,30,5,1,0,0,1.076483326
311,639,918,262,0.55,0,167,0,0,17,30,2,1,0,0,0.832390074
311,639,918,262,0.55,0,167,0,0,17,30,3,1,0,0,0.915629081
311,639,918,262,0.55,0,167,0,0,17,30,4,1,0,0,1.040487593
311,639,918,262,0.55,0,167,0,0,17,30,5,1,0,0,1.082107096
311,639,864,311,0.65,0,167,0,0,17,30,2,1,0,0,0.917626527
311,639,864,311,0.65,0,167,0,0,17,30,3,1,0,0,1.12617801
311,639,864,311,0.65,0,167,0,0,17,30,4,1,0,0,1.251308901
311,639,864,311,0.65,0,167,0,0,17,30,5,1,0,0,1.334729494
239,639,957,215,0.45,0,239,0,0,17,30,2,1,0,0,0.835299257
239,639,957,215,0.45,0,239,0,0,17,30,3,1,0,0,0.897946702
239,639,957,215,0.45,0,239,0,0,17,30,4,1,0,0,0.939711664
239,639,957,215,0.45,0,239,0,0,17,30,5,1,0,0,0.981476627
239,639,897,262,0.55,0,239,0,0,17,30,2,1,0,0,0.966080844
239,639,897,262,0.55,0,239,0,0,17,30,3,1,0,0,1.050087873
239,639,897,262,0.55,0,239,0,0,17,30,4,1,0,0,1.155096661
239,639,897,262,0.55,0,239,0,0,17,30,5,1,0,0,1.239103691
239,639,840,311,0.65,0,239,0,0,17,30,2,1,0,0,1.011640212
239,639,840,311,0.65,0,239,0,0,17,30,3,1,0,0,1.095943563
239,639,840,311,0.65,0,239,0,0,17,30,4,1,0,0,1.201322751
239,639,840,311,0.65,0,239,0,0,17,30,5,1,0,0,1.30670194
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,1.17,1,0,0,0.880630631
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,1.67,1,0,0,1.298882216
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,2.17,1,0,0,0.765515516
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,2.67,1,0,0,0.924758091
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,3.17,1,0,0,1.272022022
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,3.67,1,0,0,0.821154488
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,4.83,1,0,0,1.218301635
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,6.17,1,0,0,1.379462796
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,6.67,1,0,0,0.895979313
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,7.17,1,0,0,0.978478478
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,1.17,1,0,0,1.569402736
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,1.67,1,0,0,1.273940607
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,3.17,1,0,0,1.304637971
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,3.67,1,0,0,1.076326326
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,4.83,1,0,0,1.254754755
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,6.17,1,0,0,1.360276944
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,6.67,1,0,0,0.942025359
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,7.17,1,0,0,0.631214548
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,1.17,1,0,0,0.648481815
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,1.67,1,0,0,1.011094428
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,2.17,1,0,0,0.554471138
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,2.67,1,0,0,0.75975976
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,3.17,1,0,0,0.658074741
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,3.67,1,0,0,0.548715382
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,4.83,1,0,0,0.631214548
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,6.17,1,0,0,0.821154488
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,6.67,1,0,0,0.596680013
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,7.17,1,0,0,1.928178178
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,1.17,1,0,0,0.414414414
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,1.67,1,0,0,0.602435769
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,2.17,1,0,0,0.564064064
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,2.67,1,0,0,0.454704705
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,3.17,1,0,0,0.68685352
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,3.67,1,0,0,0.253253253
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,4.83,1,0,0,0.502669336
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,6.17,1,0,0,0.612028695
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,6.67,1,0,0,1.314230898
460,700,1050,184,0.4,3.6,0,0,0,19.8,10,7.17,1,0,0,0.387554221
430,800,1000,163.4,0.38,1,0,0,0,19,14,0.65,1,0,0,0.345869565
430,800,1000,163.4,0.38,1,0,0,0,19,14,0.65,1,0,0,0.413173913
430,800,1000,163.4,0.38,1,0,0,0,19,14,0.65,1,0,0,0.364565217
430,800,1000,163.4,0.38,1,0,0,0,19,14,0.65,1,0,0,0.394478261
430,800,1000,163.4,0.38,1,0,0,0,19,14,0.65,1,0,0,0.398217391
410,800,1000,159.9,0.39,1,0,0,0,19,14,2.22,1,0,0,0.347608696
410,800,1000,159.9,0.39,1,0,0,0,19,14,2.22,1,0,0,0.376130435
410,800,1000,159.9,0.39,1,0,0,0,19,14,2.22,1,0,0,0.39573913
355,800,1000,152.65,0.43,1,0,0,0,19,14,8.99,1,0,0,0.376608696
355,800,1000,152.65,0.43,1,0,0,0,19,14,8.99,1,0,0,0.333391304
340,800,1000,159.8,0.47,1,0,0,0,19,14,22.54,1,0,0,0.304521739
340,800,1000,159.8,0.47,1,0,0,0,19,14,22.54,1,0,0,0.348869565
340,800,1000,159.8,0.47,1,0,0,0,19,14,22.54,1,0,0,0.313391304
340,800,1000,159.8,0.47,1,0,0,0,19,14,22.54,1,0,0,0.291217391
360,800,1000,151.2,0.42,1,0,0,0,19,14,44.36,1,0,0,0.414782609
360,800,1000,151.2,0.42,1,0,0,0,19,14,44.36,1,0,0,0.433565217
360,800,1000,151.2,0.42,1,0,0,0,19,14,44.36,1,0,0,0.489913043
360,800,1000,151.2,0.42,1,0,0,0,19,14,44.36,1,0,0,0.399130435
360,800,1000,151.2,0.42,1,0,0,0,19,14,44.36,1,0,0,0.386608696
350,800,1000,157.5,0.45,1,0,0,0,19,14,48.65,1,0,0,0.412391304
350,800,1000,157.5,0.45,1,0,0,0,19,14,48.65,1,0,0,0.43826087
350,800,1000,157.5,0.45,1,0,0,0,19,14,48.65,1,0,0,0.47326087
240,800,1000,153.9,0.38,1,0,0,165,19,14,1.35,1,0,0,0.452863636
240,800,1000,153.9,0.38,1,0,0,165,19,14,1.35,1,0,0,0.467590909
240,800,1000,153.9,0.38,1,0,0,165,19,14,1.35,1,0,0,0.392113636
240,800,1000,153.9,0.38,1,0,0,165,19,14,1.35,1,0,0,0.362659091
210,800,1000,164,0.4,1,0,0,200,19,14,2.77,1,0,0,0.454727273
210,800,1000,164,0.4,1,0,0,200,19,14,2.77,1,0,0,0.441681818
210,800,1000,164,0.4,1,0,0,200,19,14,2.77,1,0,0,0.492
210,800,1000,164,0.4,1,0,0,200,19,14,2.77,1,0,0,0.473363636
182,800,1000,145.2,0.44,1,0,0,148,19,14,8.33,1,0,0,0.363
182,800,1000,145.2,0.44,1,0,0,148,19,14,8.33,1,0,0,0.3975
182,800,1000,145.2,0.44,1,0,0,148,19,14,8.33,1,0,0,0.3945
182,800,1000,145.2,0.44,1,0,0,148,19,14,8.33,1,0,0,0.4065
252,800,1000,176.4,0.42,1,0,0,168,19,14,11.36,1,0,0,0.481090909
252,800,1000,176.4,0.42,1,0,0,168,19,14,11.36,1,0,0,0.484909091
252,800,1000,176.4,0.42,1,0,0,168,19,14,11.36,1,0,0,0.446727273
252,800,1000,176.4,0.42,1,0,0,168,19,14,11.36,1,0,0,0.528818182
252,800,1000,176.4,0.42,1,0,0,168,19,14,11.36,1,0,0,0.532636364
252,800,1000,176.4,0.42,1,0,0,168,19,14,11.36,1,0,0,0.528818182
240,800,1000,180,0.45,1,0,0,160,19,14,15.5,1,0,0,0.507272727
240,800,1000,180,0.45,1,0,0,160,19,14,15.5,1,0,0,0.487272727
240,800,1000,180,0.45,1,0,0,160,19,14,15.5,1,0,0,0.503636364
240,800,1000,180,0.45,1,0,0,160,19,14,15.5,1,0,0,0.516363636
400,936,973,140,0.35,0.35,0,0,0,23.96,27,0.75,1,0,0,0.26
400,836,1022,140,0.4,0.2,0,0,0,23.96,27,0.75,1,0,0,0.34
400,815,997,140,0.45,0.1,0,0,0,23.96,27,0.75,1,0,0,0.35
400,778,956,140,0.5,0,0,0,0,23.96,27,0.75,1,0,0,0.29
380,833,1088,140,0.4,1.2,0,20,0,23.96,27,0.75,1,0,0,0.75
400,836,1022,160,0.4,0,0,0,0,23.96,30,0.25,1,0,0,0.247
400,778,956,200,0.5,0,0,0,0,23.96,30,0.25,1,0,0,0.351
370,832,1017,160,0.4,0,0,30,0,23.96,30,0.25,1,0,0,0.743
370,784,959,200,0.5,0,0,30,0,23.96,30,0.25,1,0,0,0.423
350,829,1012,160,0.4,0,0,50,0,23.96,30,0.25,1,0,0,0.74
350,782,955,200,0.5,0,0,50,0,23.96,30,0.25,1,0,0,0.753
